"According to the circular, the off-shops in the city will remain open from 9 am to 10 pm and the bars from 11 am to 12 midnight","('missing_trapped_or_found_people',)"
"Pappu Singh, alias Pamua, 32, who had escaped from a jail in Bhuj during the 2001 earthquake was arrested from the Posta area on Friday","('Earthquake',)"
The Calcutta Municipal Corporation (CMC) has indefinitely suspended recruitment by special regulation or of persons whose relatives have died in harness,"('injured_or_dead_people',)"
The CMC Workers Union has protested the decision,"('Rebellion',)"
"Kaushik Ganguly, the lecturer who was arrested by the Midnapore police for his alleged links with Naxalite outfit Peoples War and was later released on bail, rejoined work at Rajabazar Science College on Friday","('Rebellion',)"
"Banshidhar Samal, an employee of Woodland Nursing Home, died in an accident on Friday","('injured_or_dead_people',)"
O HSBC Bank for holding greetings card exhibitions in aid of charity at its branche,"('Epidemic',)"
"   The Telegraph - Calcutta : International  Tuesday, November 12, 2002      Tornadoes rip east US, 30 die  MICHELLE GILBERT                        Knoxville (Tennessee), Nov. 11 (Reuters): Tornadoes ripped through the eastern United States from the Great Lakes into the deep South yesterday and early today, wiping out small towns, killing at least 30 and leaving up to 150 missing","('Tornado', 'injured_or_dead_people')"
Officials warned the death toll could rise as rescue workers began tearing into devastated homes and other structures amid fog and continuing rain in some areas,"('displaced_people_and_evacuations', 'injured_or_dead_people', 'missing_trapped_or_found_people')"
"Tennessee appeared to be the hardest hit, with 16 confirmed deaths","('injured_or_dead_people',)"
Cecil Whaley of the Tennessee Emergency Management Agency said a tornado there left an area about one-and-a-half square miles around Mossy Grove wiped out,"('Tornado',)"
"Its mass destruction, death, a police officer in nearby Oliver Springs told the Knoxville News-Sentinel.Mossy Grove is destroyed","('infrastructure_and_utilities_damage', 'injured_or_dead_people')"
"The weather services Storm Prediction Center said it had reports of 45 tornadoes since early yesterday morning across a half-dozen states, though not all of the reports were confirmed It said the biggest concentrations in North central Alabama, East central Tennessee and north central and northwest Ohio","('Tornado',)"
"Roger Edwards, a forecaster at the centre, said massive tornadic outbreaks are not unusual in November and that many of the same areas hit in the latest storms suffered damage from a similar outbreak in 1992","('infrastructure_and_utilities_damage', 'injured_or_dead_people')"
"Generally speaking, however, the tornado season tends to be concentrated the spring","('Tornado',)"
"A tornado cut a swath a mile and a half across that area and leveled thirty to forty homes, he said","('Tornado',)"
"Whaley said one of the dead was a small boy, killed in the Manchester area, where at least 20 homes were levelled and 18 people were taken to the hospital","('injured_or_dead_people',)"
"Officials in Tennessee said the tornadoes hit in waves, flattening mobile homes, ripping the roofs off houses, downing power lines and hurling cars into trees","('Tornado',)"
As many as nine people may have been killed and 50 others injured in Alabama,"('injured_or_dead_people',)"
"Dismissing the Oppositions demand that he should quit as chief of army, Pakistan President Pervez Musharraf said he would not give up his uniform till institutional harmony  A storm packing hail, heavy rain and winds of up to 120 km per hour has devastated a Bangladeshi village, killing at least 23 people with 19 missing, witnesses and state tele  French President Jacques Chirac watched his poll ratings get a Baghdad bounce of their own as his nationals backed his anti-war stance on Iraq","('Rebellion', 'injured_or_dead_people')"
"(Reuters)  Villagers in China protested violently against quarantining suspected SARS patients near their home.. |  Alastair Campbell has banned Tony Blair from talking about God in public, according to two 50t.. |  Tornadoes raked parts of the central US, killing at least 2  Copyrigh","('Rebellion', 'Tornado', 'injured_or_dead_people')"
"   The Telegraph - Calcutta : International  Tuesday, May 06, 2003      27 killed in US tornado rampage                         Kansas City (Montana), May 5 (Reuters): Tornadoes raked parts of the central US, killing at least 27 people in a rampage that blew a freight train off the tracks and flattened block after block of buildings, officials said today","('Tornado', 'injured_or_dead_people')"
"Missouri reported nine deaths and neighboring Kansas seven, while 10 died in Tennessee","('injured_or_dead_people',)"
"Daylight brought frantic rescue efforts in some areas where officials feared debris hid more victims, living and dead","('displaced_people_and_evacuations', 'injured_or_dead_people', 'missing_trapped_or_found_people')"
Rescue workers climbed around the ruins of a National Guard armoury in Pierce City where some residents had fled seeking shelter as the storms approached,"('displaced_people_and_evacuations', 'missing_trapped_or_found_people')"
The roof of the building had collapsed,"('infrastructure_and_utilities_damage',)"
"In Lawrence County, where the town is located, there were between six and 12 deaths, the sheriffs office said","('injured_or_dead_people',)"
His home escaped with minor damage but his bedroom was filled with broken glass,"('infrastructure_and_utilities_damage',)"
"The storms dealt the worst damage to southern Missouri and southern Kansas, as well as western Tennessee where downtown Jackson resembled a war zone","('Rebellion', 'infrastructure_and_utilities_damage')"
"   The Telegraph - Calcutta : International  Sunday, September 21, 2003      US begins clean-up in Isabels wake                         Washington, Sept. 20 (Reuters): Communities along the US east coast have begun a massive clean-up after Hurricane Isabel, with authorities approving disaster aid and sending truckloads of relief supplies, but local officials said it would take months to fix the damage","('Epidemic', 'Hurricane', 'donation_needs_or_offers_or_volunteering_services', 'infrastructure_and_utilities_damage')"
"President George W. Bush signed disaster declarations for North Carolina, Virginia and Maryland, the hardest-hit areas, opening the way for federal assistance and aid programmes","('Epidemic',)"
"The department of homeland security said it was coordinating the federal government response after Isabel ripped through the mid-Atlantic region, leaving at least 23 people dead","('injured_or_dead_people',)"
"More that 70 truckloads of water, emergency meals, tents, cots, blankets, portable toilets, generators, plastic sheeting and roofing material had been sent to areas hit by floods and high winds, the department said","('Flood', 'donation_needs_or_offers_or_volunteering_services')"
The Coast Guard began flying search patrols along the path of the hurricane with helicopters equipped to pluck to safety people stranded on rooftops or in their cars,"('Hurricane', 'missing_trapped_or_found_people')"
"Insurers said the total damage bill may be between $500 million and $1 billion, far less than the $4 billion feared earlier in the week when Isabel was still over the Atlantic and graded as a category 5 hurricane","('Hurricane', 'infrastructure_and_utilities_damage')"
"Officials in Dare County, which encompasses part of the Outer Banks including hard-hit Hatteras Island, Nags Head and Kitty Hawk, made a preliminary estimate of some $544.9 million in damage county-wide","('infrastructure_and_utilities_damage',)"
"That included $313 million in damage on Hatteras Island alone, Cahoon said","('infrastructure_and_utilities_damage',)"
"Atal Bihari Vajpayee made this promise while dedicating the multi-speciality GK General Hospital, reconstructed from the Prime Ministers Relief Fund, to the people of Kutch","('donation_needs_or_offers_or_volunteering_services',)"
"The Gujarat chief minister, known for fiery speeches and abrasive behaviour, broke down while recalling the January 26, 2001, earthquake that devastated Kutch and also affected the rest of the state","('Earthquake',)"
He said Gujarat had recovered from the earthquake in less than three years,"('Earthquake',)"
"Japan, Mexico and Turkey have taken longer to rebuild after suffering earthquakes in recent years, Modi added","('injured_or_dead_people',)"
"Vajpayee recalled the heart-rending scenes he witnessed at GK Hospital that collapsed during the quake, killing 182 people","('Earthquake', 'infrastructure_and_utilities_damage', 'injured_or_dead_people')"
He described the reconstruction as victory of life over death and said he saw tremendous scope for the hospital to expand,"('injured_or_dead_people',)"
GK Hospital has been rebuilt with earthquake-resistant technology developed on the New Zealand model of base-isolation technology that can withstand quakes as high as 8 on the Richter scale,"('Earthquake',)"
The technology uses lead-rubber bearings to isolate and protect structures during earthquakes,"('Earthquake',)"
"Earlier, Modi announced that Gujarat would soon have a world-class seismic institute","('Earthquake',)"
He revealed that Vajpayee was so concerned about post-quake relief that he had appointed an officer to look after rehabilitation and monitored the progress,"('Earthquake', 'donation_needs_or_offers_or_volunteering_services')"
"   The Telegraph - Calcutta : Opinion    Wednesday, January 21, 2004                               WHEN NATURAL CALAMITY STRIKES Shobita Punja                     January 26, 2001 at 8.46 am, when the nation was preparing to celebrate our 52nd Republic Day, an earthquake struck the state of Gujarat","('Earthquake',)"
"It was of enormous magnitude, between 7-8 points on the Richter scale with its epicentre just 20 kilometres northeast of Bhuj","('Earthquake',)"
"The death and destruction that followed the earthquake spread over 15,000 kilometres with the loss of life estimated at 20,000, apart from loss of livestock and crores worth of property","('Earthquake', 'infrastructure_and_utilities_damage', 'injured_or_dead_people')"
"The earthquake took everyone by surprise, but that is the character of natural calamities","('Earthquake',)"
"In terms of the irreplaceable loss of national, cultural and historic assets of Gujarat, the earthquake exposed another aspect of our lack of preparedness and concern","('Earthquake',)"
The Archaeological Survey of India and the state department of archaeology in subsequent weeks estimated that over 900 protected monuments had been affected by the earthquake and needed urgent attention,"('Earthquake',)"
"The region of Kutch, known to be in the seismic zone with a record of tremors every 30-50 years, has one of Indias most beautiful traditions of vernacular building and extraordinary crafts traditions of communities who have adapted to the harsh near-desert environment over centuries","('Earthquake',)"
"Leveller                     The earthquake, like all natural phenomena, made no distinction between caste or religion or class and colour and devastated the Jubilee Hospital, the Fateh Mohammeds tomb, the Kalyaneshwar Temple, the Jail and the Alfred School in Bhuj","('Earthquake',)"
"Even in Ahmedabad the quake damaged Gandhis historic meeting place, the Hriday Kunj, where he had sat spinning his charka in the Sabarmati Ashram","('Earthquake', 'infrastructure_and_utilities_damage')"
The clock tower at the Ranjit Vilas palace in Wankaner was seriously damaged and the clock had stopped at 8.46 am,"('infrastructure_and_utilities_damage',)"
"Each one of us must ask should an earthquake, flood, natural disaster happen unexpectedly today somewhere in India  do we have a task force to bring aid immediately to the injured and the dying, food and shelter for the homeless and helpless","('Earthquake', 'Flood', 'displaced_people_and_evacuations', 'donation_needs_or_offers_or_volunteering_services', 'injured_or_dead_people')"
"   The Telegraph - Calcutta : Nation    Friday, February 20, 2004      Industry breathes life into quake-hit  Bhuj, Feb. 19 (Reuters): A security guard in a bright blue uniform frisks Baburam Humble at the iron gate before he is let into the newly-built factory office where he works","('Earthquake',)"
"I was completely at a loss after the earthquake, not knowing how to face the tragedy, the 29-year-old said","('Earthquake',)"
"Measuring 6.7 on the Richter scale, the earthquake had killed nearly 20,000 people and flattened residential complexes and businesses across large parts here","('Earthquake', 'injured_or_dead_people')"
"Humble, who lost all his savings after the concrete-roofed house he shared with his four brothers collapsed in the quake, has begun a new chapter in his life with Rs 2,500 a month he earns from the detergent and chemical factory","('Earthquake', 'infrastructure_and_utilities_damage')"
"The huge piles of debris and mangled metal from the flattened buildings in Bhuj, Anjar and Bachhau, three major towns destroyed by the quake, are giving way to multi-storied buildings and factories protected by iron gates and barbed wire fences","('Earthquake', 'infrastructure_and_utilities_damage')"
It is also helping quake survivors find much-needed livelihoods,"('Earthquake', 'missing_trapped_or_found_people')"
"In an attempt to spur investment and generate employment for those hit hardest by the quake, the central and state governments offer a maximum 24 per cent tax rebate for up to 10 years for industrial units set up between July 31, 2001, and July 31, 2004","('Earthquake',)"
"   The Telegraph - Calcutta : Nation    Saturday, May 08, 2004      Big B balm on drought  CHANDRIMA S. BHATTACHARYA       Bachchan: Healing touchMumbai, May 7: Western Maharashtra, reeling under severe drought, has got a healing touch","('Drought',)"
Amitabh Bachchan has decided to bring relief to two drought-affected villages there by adopting them,"('Drought', 'donation_needs_or_offers_or_volunteering_services')"
The superstar will provide mid-day meals to about 500 villagers of Kumthe and Upalavi for a month,"('donation_needs_or_offers_or_volunteering_services',)"
"Along with Solapur and Kohlapur, Sangli is one of the severely drought-affected districts of western Maharashtra","('Drought',)"
"We havent heard of any deaths, but these villages are starving","('injured_or_dead_people',)"
"But because of the drought that has affected the region for more than two years, grapes and other agricultural produce like sugarcane have suffered acutely","('Drought', 'injured_or_dead_people')"
"This is the first time that a celebrity has adopted a village-in-need; though Aamir Khan provided relief to Kanuria, a village in Bhuj that was devastated by the earthquake in 2001","('Earthquake', 'donation_needs_or_offers_or_volunteering_services')"
   The Telegraph - Calcutta : Metro   Hospital balm on AIDS alarm   OUR SPECIAL CORRESPONDENT   A spurt in the number of HIV/AIDS cases detected in a city centre has coincided with the call for a hospital dedicated to address the disease,"('Epidemic',)"
"At the School of Tropical Medicine, the nodal centre for HIV/AIDS treatment in the state, 608 patients out of over 1,000 have tested positive for the virus in the past eight months","('Epidemic', 'injured_or_dead_people')"
The city on Friday was also told that it would get its first hospital dedicated to treatment of the disease,"('Epidemic',)"
More than five million people are suffering from this disease in India,"('Epidemic', 'injured_or_dead_people')"
"Raju, bishop of the Calcutta diocese, following an AIDS sensitisation programme in CNI schools","('Epidemic',)"
"Of the new cases detected at the School of Tropical Medicine, 578 patents were from the city, a figure which, experts believe, is likely to go up in the next four months, taking this years tally far beyond that of last year","('Epidemic',)"
"In 2003, over 1,200 tested positive at the School of Tropical Medicine, but the number from the city was smaller","('Epidemic',)"
"The vulnerable age-group is the 20-35 years bracket and, while most infections are because of unprotected sex, some were also due to contaminated blood transfusions, said Bhibuti Saha, head of the department, tropical medicine","('Epidemic',)"
The School of Tropical Medicine disclosure comes close on the heels of a survey conducted by the National AIDS Control Organisation that monitors HIV infection nationally,"('Epidemic',)"
"It concluded that besides Delhi, Bengal is a cause of concern in terms of new infections","('Epidemic',)"
The number of mother-to-child infections has also shot up,"('Epidemic',)"
The survey said there has been a 250 per cent increase in the number of HIV infections from unprotected sex and another 50 per cent in the number of mother-to-child infections,"('Epidemic',)"
We were surprised to find that many women have heard about AIDS but they do not know how fatal the disease is,"('Epidemic',)"
"We need to provide people with the necessary information, explained Karuna Roy, a Delhi-based HIV/AIDS counsellor","('Epidemic',)"
"(Reuters)   Cocoa (Florida), Sept. 4 (Reuters): Strong winds and whipping rains began to lash eastern Florida today as Hurricane Frances, an enormous storm, crept across the northern Bahamas toward the US","('Hurricane',)"
"Although weaker than it had been, Frances promised to bring torrential rain to Floridas Atlantic coast, where 2.5 million people had been told to evacuate their homes, after delivering a long pounding to the Bahamas","('displaced_people_and_evacuations',)"
"Federal emergency management agency director Michael Brown said people should not let their guard down because Frances had weakened, as it could still cause huge damage","('infrastructure_and_utilities_damage',)"
"Unlike (recent Hurricane) Charley, this storm has an awful lot of moisture with it","('Hurricane',)"
"In the Bahamas, the hurricane killed one person, blew off roofs, downed trees and power lines and caused widespread flooding in the 700-island archipelago that is home to 300,000 people","('Hurricane', 'injured_or_dead_people')"
"By noon GMT, the slow-moving storm was about 180 km east of West Palm Beach, Florida, and hanging over Freeport on Grand Bahama island, the US National Hurricane Center said","('Hurricane',)"
"Hurricane-force winds were expected to spread out 170 km from the center, but seemed likely to spare some of the most populated areas of Floridas east coast, such as Miami and Fort Lauderdale, from the full brunt of their fury","('Hurricane',)"
"Charley, a more powerful but much smaller hurricane, caused $7.4 billion in insured losses and killed more than 20 people last month","('Hurricane', 'injured_or_dead_people')"
"   The Telegraph - Calcutta : International   Monday, September 06, 2004    Florida reels in Frances fury   A resident walks her dog as Hurricane Frances slams into south Florida","('Hurricane',)"
"(AFP)   Cocoa, Florida, Sept. 5 Reuters): Hurricane Frances roared into eastern Florida with stinging rains and fierce winds that ripped away roofs, trees and boat moorings and cut power to 1.3 million homes and businesses","('Hurricane',)"
"The massive storm crept over Floridas Atlantic coast, where 2.5 million people had been told to flee inland","('displaced_people_and_evacuations',)"
Power lines snapped and sparked while lightning illuminated blacked-out beach towns and flood waters submerged cars in low-lying parking garages,"('Flood', 'infrastructure_and_utilities_damage')"
"Weve still got the back side to deal with, said National Hurricane Center director Max Mayfield","('Hurricane',)"
"President George W. Bush yesterday declared Florida a major disaster and ordered federal aid to make grants and loans available in five coastal counties in Central Florida: Brevard, Indian River, Martin, Palm Beach and St. Lucie","('Epidemic',)"
"State officials reported some 71,000 people in public shelters, including some left homeless by Hurricane Charley, which caused $7.4 billion in insured losses and killed more than 20 people when it hit Floridas southwest coast three weeks ago","('Hurricane', 'displaced_people_and_evacuations', 'injured_or_dead_people')"
Local television reported one shelter resident died of a heart attack as Frances howled ashore,"('Terrorism', 'injured_or_dead_people')"
"At 0300 GMT, the centre of the storm was about 56 km northeast of West Palm Beach, Florida, at latitude 27.1 north and longitude 79.7 west, the US National Hurricane Center in Miami said","('Hurricane',)"
"The hurricane was moving west-northwest at about 7 kph on a path that could take its eye some 128 km wide over central Florida, the Florida Panhandle and then into Alabama by Tuesday","('Hurricane',)"
"The storms top sustained winds were near 170 kph, well down from the devastating 235-kph winds of two days ago but strong enough to uproot trees, down power lines and destroy mobile homes","('infrastructure_and_utilities_damage',)"
"   The Telegraph - Calcutta : International   Sunday, September 12, 2004    Hurricane Ivan batters Jamaica   Kingston (Jamaica), Sept. 11 (Reuters): Deadly Hurricane Ivan battered Jamaica with powerful winds and torrential rains today but spared the island the worst of its wrath as the eye skirted the shore and headed for the Cayman Islands and Cuba","('Hurricane',)"
"The storm felled large trees and poles, flooded streets, swept away houses, and left the island in the dark","('Flood',)"
"Ivan, which has already killed 27 people and left a trail of devastation across the Caribbean, veered west just as it approached Jamaica and skirted the southern shore instead of plowing through the island","('injured_or_dead_people',)"
"At 0900 GMT, Ivans winds had weakened slightly to 240 kmph but remained a powerful and deadly Category 4 hurricane on the Saffir-Simpson scale of 1-5","('Hurricane', 'missing_trapped_or_found_people')"
"Ivan?s eye was about 112 km south of Montego Bay, Jamaica, at latitude 17.5 north and longitude 78 west, the US National Hurricane Center said","('Hurricane',)"
"   The Telegraph - Calcutta : International   Monday, September 13, 2004    Ivan ire hits Cayman   The veil of a Cuban bride is lifted by the gust of wind brought on by approaching Hurricane Ivan in Old Havana","('Hurricane',)"
"(Reuters)  George Town, Cayman Islands, Sept. 12 (Reuters): Hurricane Ivan, raking a trail of devastation through the Caribbean, bore down on the tiny Cayman Islands today after wrecking Jamaica and Grenada","('Hurricane',)"
"In Jamaica, Ivan killed at least 16 people, gutted homes and washed away roads","('injured_or_dead_people',)"
"Ivan?s winds had decreased slightly to 250-kph and it was downgraded to Category 4 on 1-5 Saffir-Simpson scale but it remained a very powerful and dangerous storm, the US National Hurricane Center said","('Hurricane', 'missing_trapped_or_found_people')"
"Ivan has killed at least 44 people on its march through the Caribbean, most of them in Grenada, where there were at least 19 confirmed deaths and the toll was expected to rise","('injured_or_dead_people',)"
"The Cayman Islands, a wealthy British territory of 45,000 people, declared a state of emergency as coastal dwellers fled to storm shelters to escape battering waves and a five-metre storm surge","('displaced_people_and_evacuations',)"
"said James Ryan, chairman of the Caymans hurricane committee","('Hurricane',)"
"Ivan was forecast to hit Cuba by tomorrow and approach Florida?s west coast, threatening areas struck last month by Hurricane Charley, by Tuesday","('Hurricane',)"
