"Paswan drew a parallel between President George W. Bush and Narendra Modi, comparing Modis handling of the Gujarat riots to Bushs handling of the crisis after the terrorist attack on the WTC on September 11","('Rebellion', 'Terrorism')"
Bush went on TV within an hour and said it was the work of Osama bin Laden and that he wanted him dead or alive,"('injured_or_dead_people',)"
"But Bush never blamed Muslims as a community and the BJP government was doing everything possibly to paint the entire community as terrorists, Paswan told Kalam","('Terrorism',)"
"As a nation, it would be most shameful of us if we were to let such an act of glorification of deaths and destruction take place, Paswan and Mishra told the President, slamming the intention behind the Gaurav Yatra","('infrastructure_and_utilities_damage', 'injured_or_dead_people')"
Paswan apprised the President on how the BJP-led government had tried to exaggerate the Godhra killings by not publicising the exact death toll in the Sabarmati Express,"('injured_or_dead_people',)"
"According to the reservation charts released by the railways, only four of the 56 passengers who had booked berths in S-6 bogie had died, nine were injured and seven missing, he said","('injured_or_dead_people',)"
The state government had claimed that 58 people had died in coach S-6,"('injured_or_dead_people',)"
"The leaders said it was shocking to learn that while the Prime Minister himself had termed the violence as a national shame, his party was trying to glorify the riots","('Rebellion',)"
The former Union minister reminding the President that he himself had visited Gujarat and commented upon the inadequate relief and rehabilitation work,"('donation_needs_or_offers_or_volunteering_services',)"
"In a separate memorandum to the President, Paswan urged that Bihar be declared a famine state as 140 lakh people in 24 districts faced extreme hardship due to floods while 13 districts were hit by drought","('Drought', 'Flood')"
"More than 300 people had died in the floods, he said, and appealed to Kalam to visit the state","('Flood', 'injured_or_dead_people')"
"   The Telegraph - Calcutta : Nation    Wednesday, September 25, 2002      Pakistan rubs intolerance salt                         Islamabad, Sept. 24 (Reuters): Pakistans government condemned the attack on the Swaminarayan temple in Gujarat and denied any role in the violence","('Terrorism',)"
"Information minister Nisar Memon said the attack reflected the failure of Hindu nationalist leaders in India to build a tolerant society in Gujarat, where communal violence has flared this year","('Terrorism',)"
"We condemn this attack on an Indian temple by whoever has done it, he said","('Terrorism',)"
"The BJP said the attack, which killed at least 23 people, was aimed at stoking communal tension and could have been carried out by Pakistan-supported terrorists frustrated by the success of elections in Jammu and Kashmir","('Terrorism', 'injured_or_dead_people')"
"Memon also rejected Indias claim that the elections in Jammu and Kashmir had been a success, and pointed to the low turnout in Srinagar today","('injured_or_dead_people',)"
"Around a million troops have been massed on the India-Pakistan border since an attack last December on Indias Parliament, which New Delhi blamed on Pakistan-backed militants","('Terrorism',)"
"US, UK reaction                        The US and the UK have also condemned the attack, saying such attacks can never be justified and do not promote any cause, PTI adds","('Terrorism',)"
US President George W. Bushs spokesman Ari Fleischer said in Washington: The President condemns all terrorist attacks,"('Terrorism',)"
This was a particularly deadly attack and the President condemns it,"('Terrorism',)"
British foreign secretary Jack Straw said: I am horrified by this attack on innocent civilians,"('Terrorism',)"
"   The Telegraph - Calcutta : Nation    Friday, September 27, 2002      Sleuths sure attackers not from state   OUR SPECIAL CORRESPONDENT                         New Delhi, Sept. 26: Al Badr or Jaish-e-Mohammad might be behind the terror attack on the Swaminarayan temple in Gandhinagar, sleuths believe","('Terrorism',)"
"Intelligence agencies are certain that the attackers were not local Gujaratis, though the identities of the two slain militants are yet to be established","('Terrorism',)"
"Unlike during the attacks on Parliament and the Kaluchak army camp, the temple attackers have not left any tell-tale signs behind","('Terrorism',)"
Indian agencies say the ISI is making certain that fingers dont point to Pakistan,"('Terrorism',)"
