"   The Telegraph - Calcutta : Frontpage  Saturday, December 28, 2002      Claim of human clone         Clonaid company founder Rael in a picture downloaded from its website","('injured_or_dead_people',)"
"(AFP)                        Hollywood, Florida, Dec. 27 (Reuters): A company associated with a group that believes extra-terrestrials created mankind claimed today that it had produced the first clone of a human being","('injured_or_dead_people',)"
"Boisselier, who offered no proof of her claim, said the girl was born on Thursday at 11.55 am, but did not disclose where the cloning had taken place","('injured_or_dead_people',)"
Antinori said last month he expected one of his patients to give birth to a cloned baby in January,"('injured_or_dead_people',)"
"Regardless of the accuracy of the claim, the fact that renegade scientists are apparently continuing to work to clone human beings despite the proven dangers of mammalian cloning shows that the United States and the rest of the world need to pass a complete ban on this dangerous and unethical procedure as soon as possible, said C. Ben Mitchell, a senior fellow at the centre","('injured_or_dead_people',)"
"The Raelians, who claim 55,000 followers around the world, believe life on Earth was sparked by extra-terrestrials who arrived 25,000 years ago and created humans through cloning","('injured_or_dead_people',)"
"Vorilhon, a Frenchman who calls himself Rael, claims to have held six meetings with space travellers at the volcano, after which he founded a religion based on the belief that aliens created humankind through cloning 25,000 years ago","('injured_or_dead_people',)"
"Clonaid, the company, offered no proof of its success when it announced what it claims is the first human cloning","('injured_or_dead_people',)"
But it said independent tests backing its claims would be finished in about a week,"('injured_or_dead_people',)"
"While the announcement renewed the questioning of the ethics of cloning, scientists were sceptical of Clonaids claim that it had successfully produced the first human clone with procedures much like those used to clone Dolly the sheep","('injured_or_dead_people',)"
"   The Telegraph - Calcutta : Frontpage  Sunday, December 29, 2002      Vatican, science sceptical of Eve                         Dec. 28: The Vatican and the world of science today displayed rare unanimity in casting doubt on the unsubstantiated claim that the first clone of a human being had been produced by a company owned by a maverick cult","('injured_or_dead_people',)"
Ethics experts also warned that the claim might throw up new ethical barriers to the use of cloning technology to fight disease,"('Epidemic', 'injured_or_dead_people')"
"Reacting to news of the birth of Eve, the supposed clone, the Vatican said the claim was an expression of a brutal mentality, lacking all ethical and human consideration and noted the group had provided no proof","('injured_or_dead_people',)"
"Clonaid, the company which had made the stunning claim yesterday, had said it would provide proof in a week","('injured_or_dead_people',)"
"Scientists, too, greeted the claim with scepticism","('injured_or_dead_people',)"
"The Christian Coalition of America responded to Boisseliers announcement by declaring its intention to lobby the US Congress for an outright ban on cloning of human beings, including the cloning of human embryos  a euphemism for stem cell research that some believe holds promise for curing diseases from Parkinsons to cancer","('Epidemic',)"
"   The Telegraph - Calcutta : International  Monday, December 30, 2002      Childless couples mob Raelian sect for clones  JENNY BOOTH                        London, Dec. 29: The claim that a bizarre religious cult has succeeded in cloning the worlds first human baby has unleashed a tide of interest from infertile British couples desperate to create a child","('Rebellion', 'injured_or_dead_people')"
"Yesterday, fertility experts remained sceptical about whether Clonaid, a company set up by the Raelian sect, has really managed the scientific feat of cloning a human being","('missing_trapped_or_found_people',)"
"Nonetheless, Internet message boards filled up with anguished pleas from couples and individuals seeking to clone their dead children or to create a baby in their own image","('injured_or_dead_people',)"
"The most bizarre was from a woman who was distraught after the death of her father and was proposing to use some of his tissue to have him as a baby, said Dixon, who condemns human cloning","('injured_or_dead_people',)"
"Four more clone babies are due to be born soon, she added, including one to a lesbian couple and two created from the DNA of dead children","('injured_or_dead_people',)"
"Clonaid has created the first clones free of charge, it was claimed, but intends in future to charge about 140,000 for the process, using young female sect members as egg donors where necessary","('injured_or_dead_people',)"
Scientists have been sceptical of the claims,"('injured_or_dead_people',)"
"Harry Griffin, head of the Roslin Institute which cloned Dolly the sheep, said: All the groups that work on cloning with animals have reported a high incidence of miscarriage and deaths soon after birth and problems with the clones later on in life","('injured_or_dead_people',)"
"If Zain does die, then we would never wish him to be alive again","('injured_or_dead_people',)"
"   The Telegraph - Calcutta : International  Tuesday, December 31, 2002      American agency to check clone claim  FRED LANGAN                        Valcourt (Quebec), Dec. 30: The claim by the Raelian cult that it helped to produce the worlds first human clone, a baby called Eve, has brought the organisation under investigation by the US government","('injured_or_dead_people',)"
"And weve started steps to look into that, said Brad Stone, a spokesman for the US Food and Drug Administration","('donation_needs_or_offers_or_volunteering_services',)"
"He said that although the sect had claimed to have cloned the child outside America, the FDA would still look into it","('injured_or_dead_people',)"
"The claim by the Raelians was made on Friday in Hollywood, Florida, by Brigitte Boisselier, a French chemist and chief executive of Clonaid, which she said had helped to produce the 7 pound baby","('injured_or_dead_people',)"
"The company was founded in 1997 by Claude Vorilhon, a former French motor racing journalist who claims that he was once abducted by extra-terrestrial beings who told him the human race had been created by creatures from outer space 25,000 years go","('injured_or_dead_people',)"
UFOland had a visit last month from an angry local resident who drove a pick-up truck through the parks fence,"('Rebellion',)"
Worldwide scorn                        World leaders and religious figures joined ranks with scientists at the weekend to pour scorn on claims by a company set up by an obscure cult that it had produced the first clone of a human being,"('injured_or_dead_people',)"
Her claim to have cloned a human being drew sceptical reaction from experts in the field and she offered no proof,"('injured_or_dead_people',)"
"The US Food and Drug Administration, which strongly opposes human cloning, said yesterday it was taking steps to investigate Clonaids claim","('donation_needs_or_offers_or_volunteering_services', 'injured_or_dead_people')"
"Clonaid was founded by the creator of the Raelian Movement, a group that claims 55,000 followers around the world and asserts that life on Earth was sparked by extraterrestrials who arrived 25,000 years ago and created humans through cloning","('injured_or_dead_people',)"
"Vorilhon claims to have been contacted on December 13, 1973, outside Paris by aliens who told him that life on Earth had been created in laboratories by scientifically advanced people from space","('injured_or_dead_people',)"
"   The Telegraph - Calcutta : International  Saturday, January 04, 2003      Second cloned baby due soon  CATHERINE BREMER                        Paris, Jan. 3 (Reuters): A second cloned baby will be born this week, a firm claiming to have produced the first human clone said today, although it has failed to carry out genetic tests it promised to provide as proof","('injured_or_dead_people',)"
"   The Telegraph - Calcutta : Frontpage  Sunday, January 05, 2003      Sniggers greet Eves cousin  ERIC ONSTAD                        Amsterdam, Jan. 4 (Reuters): A cult said today the worlds second cloned baby had been born to a Dutch lesbian, but cloning experts swiftly dismissed the claim as a laughable stunt","('injured_or_dead_people',)"
"Clonaids initial claim sparked widespread scepticism among scientific experts, and the company has yet to provide DNA samples or other evidence to support its assertions","('injured_or_dead_people',)"
"But the French founder of the movement, Claude Vorilhon, who calls himself Rael, said yesterday Clonaid and the Raelians were very different and he could not personally vouch for the accuracy of Clonaids claims","('injured_or_dead_people',)"
"   The Telegraph - Calcutta : International  Monday, January 06, 2003      Clonaid chief fights shy of proof  KATHERINE BALDWIN                        London, Jan. 5 (Reuters): A cloning firm founded by a UFO sect today defended its claim to have produced the worlds first two cloned babies and said it would not pressure the par-ents to undergo DNA tests to silence sceptics","('injured_or_dead_people',)"
"That claim comes after the sect and cloning firm Clonaid said in December that a 31-year-old American had given birth to the first human clone, named Eve","('injured_or_dead_people',)"
Scientists have branded the claims as a baseless publicity stunt,"('injured_or_dead_people',)"
"In the Netherlands, where human cloning is banned, the government said it was investigating the second birth but pointed out there was no proof to support the sects claim","('injured_or_dead_people',)"
The Raelian movements profile has fed scepticism over their claims,"('injured_or_dead_people',)"
"   The Telegraph - Calcutta : International  Tuesday, January 07, 2003      Dont clone him, says cult chiefs ex-wife  PHILIP DELVES BROUGHTON       Claude Vorilhon                        Paris, Jan. 6: The leader of the Raelian cult, which claims to have created two infant clones, was a terrible husband and father and repeatedly unfaithful, his ex-wife told a French newspaper yesterday","('injured_or_dead_people',)"
"The Raelians chief scientist, Brigitte Boisselier, claimed yesterday that three more cloned children would be born within a month","('injured_or_dead_people',)"
"Scientists, however, remained sceptical about the two allegedly cloned babies already born","('missing_trapped_or_found_people',)"
"Rael was born in Ambert, central France, the product of an adulterous affair between his mother and a married man, not, as he has claimed, of his mothers impregnation by aliens","('injured_or_dead_people',)"
"In the mid-Seventies Vorilhon published his first book, in which he claimed to be the aliens messenger on Earth","('injured_or_dead_people',)"
Drug firms plea                        Drug companies pioneering the use of stem cells to treat incurable diseases are pleading the case for cloning research amid a furore over claims by the Raelian sect,"('Epidemic', 'injured_or_dead_people')"
"Industry leaders fear an ill-informed backlash against all cloning would jeopardise research into novel ways of treating serious illnesses such as heart disease, diabetes, Alzheimers and Parkinsons disease","('Epidemic',)"
"Best, the chief executive of Scotlands Ardana Biosciences, believes it will be many weeks before the world learns whether cloning claims made by the Raelian movement are anything more than a publicity stunt","('injured_or_dead_people',)"
   The Telegraph - Calcutta : Metro   Hospital balm on AIDS alarm   OUR SPECIAL CORRESPONDENT   A spurt in the number of HIV/AIDS cases detected in a city centre has coincided with the call for a hospital dedicated to address the disease,"('Epidemic',)"
"At the School of Tropical Medicine, the nodal centre for HIV/AIDS treatment in the state, 608 patients out of over 1,000 have tested positive for the virus in the past eight months","('Epidemic', 'injured_or_dead_people')"
The city on Friday was also told that it would get its first hospital dedicated to treatment of the disease,"('Epidemic',)"
More than five million people are suffering from this disease in India,"('Epidemic', 'injured_or_dead_people')"
"Raju, bishop of the Calcutta diocese, following an AIDS sensitisation programme in CNI schools","('Epidemic',)"
"Of the new cases detected at the School of Tropical Medicine, 578 patents were from the city, a figure which, experts believe, is likely to go up in the next four months, taking this years tally far beyond that of last year","('Epidemic',)"
"In 2003, over 1,200 tested positive at the School of Tropical Medicine, but the number from the city was smaller","('Epidemic',)"
"The vulnerable age-group is the 20-35 years bracket and, while most infections are because of unprotected sex, some were also due to contaminated blood transfusions, said Bhibuti Saha, head of the department, tropical medicine","('Epidemic',)"
